Sketch,Plane,x,z,y
0,XY,-16.484619407771255,0.0,0.0
0,XY,-16.484619407771255,2.0,0.0
0,XY,-16.484619407771255,2.0,0.0
0,XY,-16.488426759791025,2.0000604149140178,0.0
0,XY,-16.492230278130044,2.000241598823374,0.0
0,XY,-16.49602613296776,2.00054336929123,0.0
0,XY,-16.499810502200106,2.000965422460305,0.0
0,XY,-16.503579575288057,2.0015073333588327,0.0
0,XY,-16.507329557094504,2.0021685563284755,0.0
0,XY,-16.51105667170564,2.0029484255737513,0.0
0,XY,-16.514757166232986,2.0038461558324374,0.0
0,XY,-16.518427314592227,2.0048608431662602,0.0
0,XY,-16.522063421255073,2.0059914658710865,0.0
0,XY,-16.525661824970335,2.0072368855056912,0.0
0,XY,-16.529218902450495,2.008595848038071,0.0
0,XY,-16.53273107202005,2.0100669851081516,0.0
0,XY,-16.536194797221956,2.0116488154056054,0.0
0,XY,-16.539606590378543,2.0133397461614093,0.0
0,XY,-16.54296301610331,2.0151380747516257,0.0
0,XY,-16.546260694760065,2.017041990411803,0.0
0,XY,-16.549496305865926,2.0190495760602585,0.0
0,XY,-16.55266659143479,2.02115881022842,0.0
0,XY,-16.555768359257815,2.023367569096273,0.0
0,XY,-16.55879848611773,2.0256736286308654,0.0
0,XY,-16.56175392093364,2.028074666825723,0.0
0,XY,-16.564631687833213,2.0305682660389097,0.0
0,XY,-16.56742888914911,2.0331519154273914,0.0
0,XY,-16.570142708336718,2.0358230134752415,0.0
0,XY,-16.572770412810158,2.038578870613144,0.0
0,XY,-16.57530935669377,2.0414167119265656,0.0
0,XY,-16.577756983486267,2.0443336799498573,0.0
0,XY,-16.580110828634957,2.04732683754348,0.0
0,XY,-16.582368522017298,2.0503931708514562,0.0
0,XY,-16.584527790327428,2.0535295923360666,0.0
0,XY,-16.5865864593652,2.0567329438867397,0.0
0,XY,-16.58854245622539,2.06,0.0
0,XY,-16.590393811384967,2.063327471027278,0.0
0,XY,-16.592138660686217,2.0667120064873075,0.0
0,XY,-16.5937752472138,2.070150198439774,0.0
0,XY,-16.595301923063808,2.0736385849168246,0.0
0,XY,-16.59671715100307,2.0771736534089755,0.0
0,XY,-16.598019506017017,2.080751844401909,0.0
0,XY,-16.599207676744545,2.084369554960607,0.0
0,XY,-16.60028046679845,2.088023142357196,0.0
0,XY,-16.60123679597008,2.091708927738869,0.0
0,XY,-16.60207570131703,2.0954231998321773,0.0
0,XY,-16.602796338132723,2.0991622186799686,0.0
0,XY,-16.60339798079697,2.1029222194072057,0.0
0,XY,-16.603880023506605,2.106699416011879,0.0
0,XY,-16.60424198088549,2.1104900051771853,0.0
0,XY,-16.604483488473218,2.114290170101151,0.0
0,XY,-16.60460430309212,2.118096084339823,0.0
0,XY,-16.60460430309212,2.1219039156601767,0.0
0,XY,-16.604483488473218,2.1257098298988493,0.0
0,XY,-16.60424198088549,2.129509994822815,0.0
0,XY,-16.603880023506605,2.133300583988121,0.0
0,XY,-16.60339798079697,2.1370777805927945,0.0
0,XY,-16.602796338132723,2.1408377813200317,0.0
0,XY,-16.60207570131703,2.144576800167823,0.0
0,XY,-16.60123679597008,2.1482910722611313,0.0
0,XY,-16.60028046679845,2.151976857642804,0.0
0,XY,-16.599207676744545,2.155630445039393,0.0
0,XY,-16.598019506017017,2.1592481555980907,0.0
0,XY,-16.59671715100307,2.1628263465910247,0.0
0,XY,-16.595301923063804,2.1663614150831756,0.0
0,XY,-16.5937752472138,2.1698498015602263,0.0
0,XY,-16.592138660686217,2.173287993512693,0.0
0,XY,-16.590393811384967,2.176672528972722,0.0
0,XY,-16.58854245622539,2.18,0.0
0,XY,-16.5865864593652,2.1832670561132606,0.0
0,XY,-16.584527790327428,2.186470407663933,0.0
0,XY,-16.582368522017298,2.189606829148544,0.0
0,XY,-16.580110828634957,2.19267316245652,0.0
0,XY,-16.577756983486267,2.1956663200501425,0.0
0,XY,-16.57530935669377,2.198583288073434,0.0
0,XY,-16.572770412810158,2.201421129386856,0.0
0,XY,-16.570142708336718,2.2041769865247582,0.0
0,XY,-16.56742888914911,2.2068480845726084,0.0
0,XY,-16.564631687833213,2.2094317339610905,0.0
0,XY,-16.56175392093364,2.2119253331742774,0.0
0,XY,-16.55879848611773,2.2143263713691343,0.0
0,XY,-16.555768359257815,2.216632430903727,0.0
0,XY,-16.55266659143479,2.21884118977158,0.0
0,XY,-16.549496305865926,2.2209504239397417,0.0
0,XY,-16.546260694760065,2.222958009588197,0.0
0,XY,-16.54296301610331,2.224861925248374,0.0
0,XY,-16.539606590378543,2.226660253838591,0.0
0,XY,-16.536194797221956,2.2283511845943944,0.0
0,XY,-16.53273107202005,2.2299330148918486,0.0
0,XY,-16.529218902450495,2.2314041519619288,0.0
0,XY,-16.525661824970335,2.232763114494309,0.0
0,XY,-16.522063421255073,2.2340085341289133,0.0
0,XY,-16.518427314592227,2.2351391568337395,0.0
0,XY,-16.514757166232986,2.236153844167563,0.0
0,XY,-16.51105667170564,2.237051574426249,0.0
0,XY,-16.507329557094504,2.2378314436715248,0.0
0,XY,-16.503579575288057,2.238492666641167,0.0
0,XY,-16.499810502200106,2.2390345775396954,0.0
0,XY,-16.49602613296776,2.23945663070877,0.0
0,XY,-16.492230278130044,2.239758401176626,0.0
0,XY,-16.488426759791025,2.2399395850859825,0.0
0,XY,-16.484619407771255,2.2399999999999998,0.0
0,XY,-16.484619407771255,2.2399999999999998,0.0
0,XY,-16.484619407771255,2.6149999999999998,0.0
0,XY,-16.484619407771255,2.6149999999999998,0.0
0,XY,-11.484619407771255,2.6149999999999998,0.0
0,XY,-11.484619407771255,2.6149999999999998,0.0
0,XY,-11.484619407771255,2.9899999999999998,0.0
0,XY,-11.484619407771255,2.9899999999999998,0.0
0,XY,-17.484619407771255,2.9899999999999998,0.0
0,XY,-17.484619407771255,2.9899999999999998,0.0
0,XY,-17.484619407771255,0.625,0.0
0,XY,-17.484619407771255,0.0,0.0
0,XY,-16.484619407771255,0.0,0.0
1,YZ,-17.484619407771255,0.125,0.5
1,YZ,-17.484619407771255,0.12474833455898555,0.5079279899570706
1,YZ,-17.484619407771255,0.12399435160384942,0.5158240566967186
1,YZ,-17.484619407771255,0.12274108715783834,0.5236564055450513
1,YZ,-17.484619407771255,0.12099358767454454,0.531393498397635
1,YZ,-17.484619407771255,0.1187588897176182,0.5390041807123108
1,YZ,-17.484619407771255,0.11604599162700908,0.5464578069575409
1,YZ,-17.484619407771255,0.11286581728582766,0.5537243640111464
1,YZ,-17.484619407771255,0.10923117213372312,0.5607745920125586
1,YZ,-17.484619407771255,0.10515669160389765,0.5675801021819497
1,YZ,-17.484619407771255,0.10065878219138233,0.5741134911318301
1,YZ,-17.484619407771255,0.09575555538987227,0.5803484512108174
1,YZ,-17.484619407771255,0.09046675476313377,0.586259876435264
1,YZ,-17.484619407771255,0.08481367644464152,0.5918239635821917
1,YZ,-17.484619407771255,0.07881908338556531,0.5970183080364696
1,YZ,-17.484619407771255,0.07250711369639977,0.601821994006292
1,YZ,-17.484619407771255,0.0659031834513128,0.6062156787436893
1,YZ,-17.484619407771255,0.05903388434658534,0.6101816704309477
1,YZ,-17.484619407771255,0.051926876625235804,0.6137039994193149
1,YZ,-17.484619407771255,0.044610777698983986,0.6167684825331383
1,YZ,-17.484619407771255,0.037115046916034365,0.6193627801805093
1,YZ,-17.484619407771255,0.02946986693867841,0.6214764460404427
1,YZ,-17.484619407771255,0.021706022208366302,0.623100969126526
1,YZ,-17.484619407771255,0.013854774987626387,0.6242298080576568
1,YZ,-17.484619407771255,0.005947739477967773,0.624858417397876
1,YZ,-17.484619407771255,-0.0019832454793510036,0.6249842659592344
1,YZ,-17.484619407771255,-0.009906244607098567,0.6246068469939927
1,YZ,-17.484619407771255,-0.017789354784160653,0.6237276802351166
1,YZ,-17.484619407771255,-0.025600833508148846,0.6223503057768474
1,YZ,-17.484619407771255,-0.03330922671125438,0.6204802698199927
1,YZ,-17.484619407771255,-0.04088349541467771,0.6181251023393336
1,YZ,-17.484619407771255,-0.048293140711641085,0.6152942867630726
1,YZ,-17.484619407771255,-0.05550832657572177,0.611999221786417
1,YZ,-17.484619407771255,-0.06250000000000003,0.6082531754730548
1,YZ,-17.484619407771255,-0.06924000798326378,0.6040712318293464
1,YZ,-17.484619407771255,-0.07570121089220835,0.599470230066354
1,YZ,-17.484619407771255,-0.08185759174316062,0.5944686967942823
1,YZ,-17.484619407771255,-0.08768436096329017,0.5890867714223579
1,YZ,-17.484619407771255,-0.09315805620946933,0.5833461250645364
1,YZ,-17.484619407771255,-0.09825663684284844,0.5772698732775756
1,YZ,-17.484619407771255,-0.10295957267872909,0.5708824829828464
1,YZ,-17.484619407771255,-0.10724792665437215,0.5642096739466758
1,YZ,-17.484619407771255,-0.11110443108186543,0.5572783152159263
1,YZ,-17.484619407771255,-0.11451355717900871,0.5501163169258267
1,YZ,-17.484619407771255,-0.11746157759823855,0.5427525179157086
1,YZ,-17.484619407771255,-0.11993662170181217,0.5352165696051787
1,YZ,-17.484619407771255,-0.12192872336067588,0.5275388165983176
1,YZ,-17.484619407771255,-0.12342986108454929,0.5197501744966687
1,YZ,-17.484619407771255,-0.12443399032163557,0.5118820054130229
1,YZ,-17.484619407771255,-0.12493706779789814,0.5039659916872585
1,YZ,-17.484619407771255,-0.12493706779789814,0.4960340083127415
1,YZ,-17.484619407771255,-0.12443399032163557,0.4881179945869772
1,YZ,-17.484619407771255,-0.12342986108454929,0.4802498255033313
1,YZ,-17.484619407771255,-0.12192872336067588,0.4724611834016824
1,YZ,-17.484619407771255,-0.11993662170181217,0.4647834303948213
1,YZ,-17.484619407771255,-0.11746157759823855,0.45724748208429145
1,YZ,-17.484619407771255,-0.11451355717900871,0.4498836830741733
1,YZ,-17.484619407771255,-0.11110443108186543,0.4427216847840737
1,YZ,-17.484619407771255,-0.10724792665437212,0.43579032605332424
1,YZ,-17.484619407771255,-0.1029595726787291,0.42911751701715367
1,YZ,-17.484619407771255,-0.09825663684284841,0.4227301267224244
1,YZ,-17.484619407771255,-0.09315805620946935,0.4166538749354636
1,YZ,-17.484619407771255,-0.08768436096329016,0.4109132285776421
1,YZ,-17.484619407771255,-0.08185759174316065,0.4055313032057178
1,YZ,-17.484619407771255,-0.07570121089220833,0.400529769933646
1,YZ,-17.484619407771255,-0.06924000798326381,0.39592876817065353
1,YZ,-17.484619407771255,-0.06249999999999996,0.3917468245269452
1,YZ,-17.484619407771255,-0.05550832657572175,0.38800077821358303
1,YZ,-17.484619407771255,-0.048293140711641085,0.38470571323692737
1,YZ,-17.484619407771255,-0.040883495414677735,0.38187489766066646
1,YZ,-17.484619407771255,-0.03330922671125433,0.37951973018000723
1,YZ,-17.484619407771255,-0.025600833508148818,0.37764969422315264
1,YZ,-17.484619407771255,-0.017789354784160653,0.37627231976488346
1,YZ,-17.484619407771255,-0.009906244607098599,0.37539315300600723
1,YZ,-17.484619407771255,-0.001983245479350951,0.37501573404076566
1,YZ,-17.484619407771255,0.005947739477967798,0.37514158260212405
1,YZ,-17.484619407771255,0.013854774987626358,0.37577019194234323
1,YZ,-17.484619407771255,0.021706022208366246,0.376899030873474
1,YZ,-17.484619407771255,0.029469866938678438,0.3785235539595573
1,YZ,-17.484619407771255,0.037115046916034365,0.3806372198194908
1,YZ,-17.484619407771255,0.04461077769898396,0.3832315174668617
1,YZ,-17.484619407771255,0.05192687662523586,0.38629600058068525
1,YZ,-17.484619407771255,0.05903388434658536,0.38981832956905227
1,YZ,-17.484619407771255,0.0659031834513128,0.3937843212563107
1,YZ,-17.484619407771255,0.07250711369639974,0.398178005993708
1,YZ,-17.484619407771255,0.07881908338556536,0.4029816919635304
1,YZ,-17.484619407771255,0.08481367644464154,0.40817603641780836
1,YZ,-17.484619407771255,0.09046675476313376,0.413740123564736
1,YZ,-17.484619407771255,0.09575555538987222,0.41965154878918254
1,YZ,-17.484619407771255,0.10065878219138234,0.42588650886817
1,YZ,-17.484619407771255,0.10515669160389765,0.43241989781805035
1,YZ,-17.484619407771255,0.10923117213372312,0.4392254079874414
1,YZ,-17.484619407771255,0.11286581728582763,0.44627563598885356
1,YZ,-17.484619407771255,0.11604599162700908,0.45354219304245913
1,YZ,-17.484619407771255,0.1187588897176182,0.4609958192876891
1,YZ,-17.484619407771255,0.12099358767454454,0.46860650160236506
1,YZ,-17.484619407771255,0.12274108715783837,0.4763435944549488
1,YZ,-17.484619407771255,0.12399435160384942,0.4841759433032814
1,YZ,-17.484619407771255,0.12474833455898555,0.49207201004292944
1,YZ,-17.484619407771255,0.125,0.5
2,YZ,-17.484619407771255,0.125,-0.5
2,YZ,-17.484619407771255,0.12474833455898555,-0.5079279899570706
2,YZ,-17.484619407771255,0.12399435160384942,-0.5158240566967186
2,YZ,-17.484619407771255,0.12274108715783834,-0.5236564055450513
2,YZ,-17.484619407771255,0.12099358767454454,-0.531393498397635
2,YZ,-17.484619407771255,0.1187588897176182,-0.5390041807123108
2,YZ,-17.484619407771255,0.11604599162700908,-0.5464578069575409
2,YZ,-17.484619407771255,0.11286581728582766,-0.5537243640111464
2,YZ,-17.484619407771255,0.10923117213372312,-0.5607745920125586
2,YZ,-17.484619407771255,0.10515669160389765,-0.5675801021819497
2,YZ,-17.484619407771255,0.10065878219138233,-0.5741134911318301
2,YZ,-17.484619407771255,0.09575555538987227,-0.5803484512108174
2,YZ,-17.484619407771255,0.09046675476313377,-0.586259876435264
2,YZ,-17.484619407771255,0.08481367644464152,-0.5918239635821917
2,YZ,-17.484619407771255,0.07881908338556531,-0.5970183080364696
2,YZ,-17.484619407771255,0.07250711369639977,-0.601821994006292
2,YZ,-17.484619407771255,0.0659031834513128,-0.6062156787436893
2,YZ,-17.484619407771255,0.05903388434658534,-0.6101816704309477
2,YZ,-17.484619407771255,0.051926876625235804,-0.6137039994193149
2,YZ,-17.484619407771255,0.044610777698983986,-0.6167684825331383
2,YZ,-17.484619407771255,0.037115046916034365,-0.6193627801805093
2,YZ,-17.484619407771255,0.02946986693867841,-0.6214764460404427
2,YZ,-17.484619407771255,0.021706022208366302,-0.623100969126526
2,YZ,-17.484619407771255,0.013854774987626387,-0.6242298080576568
2,YZ,-17.484619407771255,0.005947739477967773,-0.624858417397876
2,YZ,-17.484619407771255,-0.0019832454793510036,-0.6249842659592344
2,YZ,-17.484619407771255,-0.009906244607098567,-0.6246068469939927
2,YZ,-17.484619407771255,-0.017789354784160653,-0.6237276802351166
2,YZ,-17.484619407771255,-0.025600833508148846,-0.6223503057768474
2,YZ,-17.484619407771255,-0.03330922671125438,-0.6204802698199927
2,YZ,-17.484619407771255,-0.04088349541467771,-0.6181251023393336
2,YZ,-17.484619407771255,-0.048293140711641085,-0.6152942867630726
2,YZ,-17.484619407771255,-0.05550832657572177,-0.611999221786417
2,YZ,-17.484619407771255,-0.06250000000000003,-0.6082531754730548
2,YZ,-17.484619407771255,-0.06924000798326378,-0.6040712318293464
2,YZ,-17.484619407771255,-0.07570121089220835,-0.599470230066354
2,YZ,-17.484619407771255,-0.08185759174316062,-0.5944686967942823
2,YZ,-17.484619407771255,-0.08768436096329017,-0.5890867714223579
2,YZ,-17.484619407771255,-0.09315805620946933,-0.5833461250645364
2,YZ,-17.484619407771255,-0.09825663684284844,-0.5772698732775756
2,YZ,-17.484619407771255,-0.10295957267872909,-0.5708824829828464
2,YZ,-17.484619407771255,-0.10724792665437215,-0.5642096739466758
2,YZ,-17.484619407771255,-0.11110443108186543,-0.5572783152159263
2,YZ,-17.484619407771255,-0.11451355717900871,-0.5501163169258267
2,YZ,-17.484619407771255,-0.11746157759823855,-0.5427525179157086
2,YZ,-17.484619407771255,-0.11993662170181217,-0.5352165696051787
2,YZ,-17.484619407771255,-0.12192872336067588,-0.5275388165983176
2,YZ,-17.484619407771255,-0.12342986108454929,-0.5197501744966687
2,YZ,-17.484619407771255,-0.12443399032163557,-0.5118820054130229
2,YZ,-17.484619407771255,-0.12493706779789814,-0.5039659916872585
2,YZ,-17.484619407771255,-0.12493706779789814,-0.4960340083127415
2,YZ,-17.484619407771255,-0.12443399032163557,-0.4881179945869772
2,YZ,-17.484619407771255,-0.12342986108454929,-0.4802498255033313
2,YZ,-17.484619407771255,-0.12192872336067588,-0.4724611834016824
2,YZ,-17.484619407771255,-0.11993662170181217,-0.4647834303948213
2,YZ,-17.484619407771255,-0.11746157759823855,-0.45724748208429145
2,YZ,-17.484619407771255,-0.11451355717900871,-0.4498836830741733
2,YZ,-17.484619407771255,-0.11110443108186543,-0.4427216847840737
2,YZ,-17.484619407771255,-0.10724792665437212,-0.43579032605332424
2,YZ,-17.484619407771255,-0.1029595726787291,-0.42911751701715367
2,YZ,-17.484619407771255,-0.09825663684284841,-0.4227301267224244
2,YZ,-17.484619407771255,-0.09315805620946935,-0.4166538749354636
2,YZ,-17.484619407771255,-0.08768436096329016,-0.4109132285776421
2,YZ,-17.484619407771255,-0.08185759174316065,-0.4055313032057178
2,YZ,-17.484619407771255,-0.07570121089220833,-0.400529769933646
2,YZ,-17.484619407771255,-0.06924000798326381,-0.39592876817065353
2,YZ,-17.484619407771255,-0.06249999999999996,-0.3917468245269452
2,YZ,-17.484619407771255,-0.05550832657572175,-0.38800077821358303
2,YZ,-17.484619407771255,-0.048293140711641085,-0.38470571323692737
2,YZ,-17.484619407771255,-0.040883495414677735,-0.38187489766066646
2,YZ,-17.484619407771255,-0.03330922671125433,-0.37951973018000723
2,YZ,-17.484619407771255,-0.025600833508148818,-0.37764969422315264
2,YZ,-17.484619407771255,-0.017789354784160653,-0.37627231976488346
2,YZ,-17.484619407771255,-0.009906244607098599,-0.37539315300600723
2,YZ,-17.484619407771255,-0.001983245479350951,-0.37501573404076566
2,YZ,-17.484619407771255,0.005947739477967798,-0.37514158260212405
2,YZ,-17.484619407771255,0.013854774987626358,-0.37577019194234323
2,YZ,-17.484619407771255,0.021706022208366246,-0.376899030873474
2,YZ,-17.484619407771255,0.029469866938678438,-0.3785235539595573
2,YZ,-17.484619407771255,0.037115046916034365,-0.3806372198194908
2,YZ,-17.484619407771255,0.04461077769898396,-0.3832315174668617
2,YZ,-17.484619407771255,0.05192687662523586,-0.38629600058068525
2,YZ,-17.484619407771255,0.05903388434658536,-0.38981832956905227
2,YZ,-17.484619407771255,0.0659031834513128,-0.3937843212563107
2,YZ,-17.484619407771255,0.07250711369639974,-0.398178005993708
2,YZ,-17.484619407771255,0.07881908338556536,-0.4029816919635304
2,YZ,-17.484619407771255,0.08481367644464154,-0.40817603641780836
2,YZ,-17.484619407771255,0.09046675476313376,-0.413740123564736
2,YZ,-17.484619407771255,0.09575555538987222,-0.41965154878918254
2,YZ,-17.484619407771255,0.10065878219138234,-0.42588650886817
2,YZ,-17.484619407771255,0.10515669160389765,-0.43241989781805035
2,YZ,-17.484619407771255,0.10923117213372312,-0.4392254079874414
2,YZ,-17.484619407771255,0.11286581728582763,-0.44627563598885356
2,YZ,-17.484619407771255,0.11604599162700908,-0.45354219304245913
2,YZ,-17.484619407771255,0.1187588897176182,-0.4609958192876891
2,YZ,-17.484619407771255,0.12099358767454454,-0.46860650160236506
2,YZ,-17.484619407771255,0.12274108715783837,-0.4763435944549488
2,YZ,-17.484619407771255,0.12399435160384942,-0.4841759433032814
2,YZ,-17.484619407771255,0.12474833455898555,-0.49207201004292944
2,YZ,-17.484619407771255,0.125,-0.5
